word_segment,instances,prominence
འི་,1125,5.220175397893369
ར་,630,2.9232982228202866
དང་,612,2.8397754164539926
ས་,527,2.445362164168716
ལ་,397,1.8421418959677045
ལ,383,1.7771797132383649
དུ་,316,1.466289267319382
ཀྱི་,311,1.4430884877731893
ནི་,233,1.0811563268525823
ས,220,1.020834300032481
གྱི་,196,0.9094705582107558
ནས་,174,0.8073871282075078
ཆོས་,166,0.7702658809335994
ཞེས་,150,0.6960233863857825
གི་,146,0.6774627627488283
འོ,138,0.6403415154749199
ན་,135,0.6264210477472043
དེ,133,0.6171407359287272
གསུམ་,120,0.5568187091086261
སོ,120,0.5568187091086261
སུ་,116,0.5382580854716718
རྒྱུད་,114,0.5289777736531948
མ་,105,0.48721637047004784
རྣམས་,102,0.47329590274233213
མི་,101,0.4686557468330936
རྒྱུད,100,0.4640155909238551
ཏེ,98,0.4547352791053779
དོན་,96,0.4454549672869008
ནི,94,0.43617465546842377
ཏུ་,90,0.4176140318314695
ཀྱིས་,90,0.4176140318314695
དེ་,87,0.4036935641037539
གཉིས་,87,0.4036935641037539
གནས་,86,0.39905340819451535
སངས་རྒྱས་,83,0.3851329404667997
སྟོན་པ་,81,0.3758526286483226
ཏེ་,74,0.3433715372836527
སྟེ,72,0.33409122546517567
ཐམས་ཅད་,72,0.33409122546517567
མེད་པ,65,0.30161013410050574
གྱིས་,65,0.30161013410050574
སེམས་ཉིད་,61,0.2830495104635516
ནས,60,0.27840935455431304
དུས་,59,0.2737691986450745
ལ་སོགས་པ་,59,0.2737691986450745
ཀུན་,58,0.2691290427358359
ཡང་,57,0.2644888868265974
ཀྱང་,57,0.2644888868265974
རྡོ་རྗེ་,54,0.2505684190988817
ཚུལ་,53,0.24592826318964317
ལམ་,52,0.24128810728040462
འདི་,52,0.24128810728040462
བྱང་ཆུབ་,52,0.24128810728040462
ཕྱིར་,50,0.23200779546192754
ནོ,50,0.23200779546192754
གིས་,49,0.22736763955268896
ཚེ་,49,0.22736763955268896
མཛད་པ་,48,0.2227274836434504
ཆེན་པོ་,48,0.2227274836434504
ན,47,0.21808732773421188
མཆོག་,47,0.21808732773421188
སྟེ་,46,0.21344717182497333
རང་བཞིན་,45,0.20880701591573475
དང་པོ་,45,0.20880701591573475
གཅིག་,44,0.2041668600064962
ཆེན་པོ,44,0.2041668600064962
གསུངས་པ་,44,0.2041668600064962
བསྟན་པ་,44,0.2041668600064962
ཡེ་ཤེས་,44,0.2041668600064962
བཞིན་,43,0.19952670409725767
བཞི,42,0.19488654818801912
ངལ་གསོ་,41,0.19024639227878057
ཡིན་,39,0.18096608046030346
ལྔ་,38,0.1763259245510649
གང་,38,0.1763259245510649
དག་,37,0.17168576864182636
སེམས་,37,0.17168576864182636
བཞི་,37,0.17168576864182636
ཕྱག་,36,0.16704561273258783
བསྟན་བཅོས་,36,0.16704561273258783
ཅིང་,36,0.16704561273258783
ཅན་,35,0.16240545682334925
ལ་སོགས་པ,35,0.16240545682334925
དོ,34,0.15776530091411073
འདི,34,0.15776530091411073
ཡི་,34,0.15776530091411073
འཁོར་,34,0.15776530091411073
དེ་ནས་,34,0.15776530091411073
ཁྱོད་,34,0.15776530091411073
ཐེག་པ་,33,0.15312514500487215
བྱ་བ,33,0.15312514500487215
བདུན་,33,0.15312514500487215
ལྟར་,32,0.14848498909563362
ཅེས་,32,0.14848498909563362
འང་,31,0.14384483318639504
མྱ་ངན་,31,0.14384483318639504
གསུངས་,31,0.14384483318639504
ཞིང་,30,0.13920467727715652
བསམ་གཏན་,30,0.13920467727715652
བུ་,30,0.13920467727715652
རབ་ཏུ་,30,0.13920467727715652
ཆེ,29,0.13456452136791794
ཕུན་སུམ་,29,0.13456452136791794
ཚོགས་པ་,29,0.13456452136791794
དུ,29,0.13456452136791794
ཤིང་,29,0.13456452136791794
མེད་,29,0.13456452136791794
བྱ,29,0.13456452136791794
རྫོགས་པ་,29,0.13456452136791794
རྒྱ་,28,0.12992436545867941
ཞེས་པ་,28,0.12992436545867941
གནས་པ,28,0.12992436545867941
དྲུག་,28,0.12992436545867941
དབང་,28,0.12992436545867941
འབྲས་བུ་,27,0.12528420954944086
མངོན་པར་,27,0.12528420954944086
རྣམ་པ,27,0.12528420954944086
རྒྱལ་པོ,27,0.12528420954944086
བཤད་,26,0.12064405364020231
ཚོགས་,26,0.12064405364020231
འཁོར་ལོ་,26,0.12064405364020231
རོ,26,0.12064405364020231
སྔགས་,25,0.11600389773096377
